,topic01,topic02,topic03,topic04,topic05
0,0.0,0.0,0.9972584843635559,0.0,0.0
1,0.0,0.0,0.0,0.9977003931999207,0.0
2,0.0,0.0,0.9972584247589111,0.0,0.0
3,0.0,0.0,0.0,0.0,0.9977383017539978
4,0.0,0.0,0.0,0.0,0.9972948431968689
5,0.0,0.0,0.0,0.9965039491653442,0.0
6,0.2592388093471527,0.0,0.0,0.0,0.739000678062439
7,0.9961076378822327,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.9954268932342529
9,0.0,0.0,0.0,0.0,0.9970541596412659
10,0.9978547096252441,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.9971057772636414
12,0.0,0.0,0.9968538880348206,0.0,0.0
13,0.0,0.9974532723426819,0.0,0.0,0.0
14,0.0,0.0,0.997535765171051,0.0,0.0
15,0.0,0.0,0.0,0.9969820380210876,0.0
16,0.0,0.0,0.996309220790863,0.0,0.0
17,0.0,0.9978082180023193,0.0,0.0,0.0
18,0.0,0.0,0.0,0.9974330067634583,0.0
19,0.9975491166114807,0.0,0.0,0.0,0.0
20,0.0,0.0,0.9970188140869141,0.0,0.0
21,0.0,0.0,0.0,0.9972505569458008,0.0
22,0.0,0.9974557757377625,0.0,0.0,0.0
23,0.9973612427711487,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.9972983598709106,0.0
25,0.0,0.0,0.9966695308685303,0.0,0.0
26,0.996015191078186,0.0,0.0,0.0,0.0
27,0.1950979083776474,0.8025942444801331,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,0.9976416826248169
29,0.0,0.0,0.0,0.9976658225059509,0.0
30,0.9969387054443359,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.996423065662384,0.0
32,0.0,0.0,0.0,0.0,0.9981014728546143
33,0.0,0.0,0.9975708723068237,0.0,0.0
34,0.0,0.0,0.0,0.9969821572303772,0.0
35,0.9977713823318481,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,0.9972006678581238,0.0
37,0.0,0.998097836971283,0.0,0.0,0.0
38,0.0,0.9971300959587097,0.0,0.0,0.0
39,0.0,0.9969650506973267,0.0,0.0,0.0
40,0.0,0.9976450204849243,0.0,0.0,0.0
41,0.0,0.0,0.0,0.9965814352035522,0.0
42,0.0,0.9967834949493408,0.0,0.0,0.0
43,0.0,0.9970253705978394,0.0,0.0,0.0
44,0.0,0.0,0.0,0.0,0.9971556067466736
45,0.0,0.0,0.0,0.9973899722099304,0.0
46,0.0,0.0,0.0,0.0,0.9972034096717834
47,0.9965730309486389,0.0,0.0,0.0,0.0
48,0.0,0.0,0.9954164624214172,0.0,0.0
49,0.0,0.0,0.9970188140869141,0.0,0.0
50,0.0,0.0,0.0,0.9979982972145081,0.0
51,0.0,0.9972808957099915,0.0,0.0,0.0
52,0.0,0.3121291399002075,0.0,0.0,0.6858674883842468
53,0.0,0.0,0.0,0.0,0.9962545037269592
54,0.0,0.0,0.0,0.9977004528045654,0.0
55,0.0,0.9970253705978394,0.0,0.0,0.0
56,0.0,0.9967837333679199,0.0,0.0,0.0
57,0.0,0.0,0.0,0.9976657032966614,0.0
58,0.0,0.0,0.0,0.9982479214668274,0.0
59,0.9974772930145264,0.0,0.0,0.0,0.0
60,0.0,0.0,0.0,0.9979983568191528,0.0
61,0.0,0.0,0.0,0.9972007274627686,0.0
62,0.0,0.0,0.9971674084663391,0.0,0.0
63,0.0,0.9966474771499634,0.0,0.0,0.0
64,0.0,0.0,0.0,0.9968593120574951,0.0
65,0.0,0.9978362917900085,0.0,0.0,0.0
66,0.0,0.0,0.0,0.9976656436920166,0.0
67,0.0,0.0,0.0,0.9975154995918274,0.0
68,0.0,0.0,0.9974240660667419,0.0,0.0
69,0.0,0.0,0.0,0.9969819784164429,0.0
70,0.0,0.0,0.0,0.0,0.9945187568664551
71,0.0,0.0,0.0,0.0,0.9968882203102112
72,0.0,0.9972334504127502,0.0,0.0,0.0
73,0.0,0.9976449012756348,0.0,0.0,0.0
74,0.0,0.997609555721283,0.0,0.0,0.0
75,0.0,0.0,0.0,0.0,0.9962548017501831
76,0.0,0.0,0.0,0.0,0.9969456195831299
77,0.0,0.0,0.998394250869751,0.0,0.0
78,0.0,0.9966473579406738,0.0,0.0,0.0
79,0.0,0.996250331401825,0.0,0.0,0.0
